"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 24 21:15:32 BRT 2022","Wed Aug 24 21:15:48 BRT 2022","16306","","CTPrecos","","","","cT03ValidaLinkConsultoriaServicos",""
"passed","Wed Aug 24 21:10:09 BRT 2022","Wed Aug 24 21:10:18 BRT 2022","8580","","CTHome","","","","cT02ValidaSecaoNews",""
"passed","Wed Aug 24 21:20:00 BRT 2022","Wed Aug 24 21:20:16 BRT 2022","16082","","CTDocumentacao","","","","cT05EditarPaginanoGitHub",""
"passed","Wed Aug 24 21:23:04 BRT 2022","Wed Aug 24 21:23:58 BRT 2022","53345","","CTNewAccount","","","","cT01CadastroCursoCamposObrigatorios",""
"passed","Wed Aug 24 21:19:37 BRT 2022","Wed Aug 24 21:19:48 BRT 2022","11274","","CTDocumentacao","","","","cT03PesquisarDocumento",""
"passed","Wed Aug 24 21:27:31 BRT 2022","Wed Aug 24 21:27:45 BRT 2022","13423","","CTGatlingEnterprise","","","","cT05ValidaBotaoLerDocumentacao",""
"passed","Wed Aug 24 21:22:35 BRT 2022","Wed Aug 24 21:22:55 BRT 2022","20285","","CTCourses","","","","cT05ValidaCampoEmailMailingList",""
"passed","Wed Aug 24 21:20:54 BRT 2022","Wed Aug 24 21:21:24 BRT 2022","29969","","CTCourses","","","","cT01ValidaPesquisar",""
"passed","Wed Aug 24 21:19:13 BRT 2022","Wed Aug 24 21:19:29 BRT 2022","16398","","CTDocumentacao","","","","cT01ValidaTemaEscuro",""
"passed","Wed Aug 24 21:23:58 BRT 2022","Wed Aug 24 21:24:21 BRT 2022","23341","","CTNewAccount","","","","cT02ValidaLinkJaTenhoContaPaginaCadastro",""
"passed","Wed Aug 24 21:11:14 BRT 2022","Wed Aug 24 21:11:27 BRT 2022","12766","","CTHome","","","","cT08ValidaLinkReservarDemonstracao",""
"passed","Wed Aug 24 21:10:27 BRT 2022","Wed Aug 24 21:10:42 BRT 2022","14648","","CTHome","","","","cT04ValidaLinkGatlingEnterpriseCloud",""
"passed","Wed Aug 24 21:13:16 BRT 2022","Wed Aug 24 21:13:23 BRT 2022","6573","","CTMenu","","","","cT02ValidaSubMenuLearnMore",""
"passed","Wed Aug 24 21:15:55 BRT 2022","Wed Aug 24 21:16:15 BRT 2022","19295","","CTBlog","","","","cT01ValidaCampoPesquisa",""
